Discovery_ID,Discovered_By,Date_Of_Discovery
259,Ji and Ji,1996
260,Jain and Bandyopadhyay,1997
261,Ji and Ji,1997
262,Novas and Puerta,1997
263,Ji | Currie | Norell and Ji.,1998
264,Kirkland,1998
265,Carpenter | Miles and Cloward,1998
266,Kirkland,1998
267,Head,1998
268,Chiappe | Norell and Clark,1998
269,Sereno | Beck | Dutheil | Gado | Larsson | Lyon | Marcot | Rauhut | Sadleir | Sidor | Varricchio | Wilson and Wilson,1998
270,Wolfe and Kirkland,1998
271,Perle | Norell and Clark,1999
272,Xu | Tang and Wang,1999
273,Zhao | Cheng and Xu,1999
274,Bonaparte | Ferigolo and Ribeiro,1999
275,Sereno | Beck | Dutheil | Larsson | Lyon | Moussa | Sadleir | Sidor | Varricchio | Wilson and Wilson,1999
276,Hou and Chen,1999
277,Taquet & Russell,1999
278,Sereno | Beck | Dutheil | Larsson | Lyon | Moussa | Sadleir | Sidor | Varricchio | Wilson & Wilson,1999
279,Xu | Wang and Wu,1999
280,Burnham | Derstler | Currie | Bakker | Zhou and Ostrom,2000
281,Azuma and Currie,2000
282,Sereno,2000
283,Xu | Zhou and Wang,2000
284,Barsbold | Osmólska | Watabe | Currie and Tsogtbaatar,2000
285,de Klerk | Forster | Sampson | Chinsamy and Ross,2000
286,Carpenter | Kirkland | Burge and Bird,2001
287,Clark | Norell and Barsbold,2001
288,Hutt | Naish | Martill | Barker and Newberry,2001
289,Vickaryous | Russell | Currie and Zhao,2001
290,Carpenter | Miles and Cloward,2001
291,Wang and Xu,2001
292,Clark | Norell and Barsbold,2001
293,Sampson | Carrano & Forster,2001
294,Kirkland and Wolfe,2001
295,Smith | Lamanna | Lacovara | Dodson | Smith | Poole | Giegengack and Attia,2001
296,Coria | Chiappe and Dingus,2002
297,Xu | Makovicky | Wang | Norell and You,2002
298,Xu | Norell | Wang | Makovicky and Wu,2002
299,You | Luo | Shubin | Witmer | Tang and Tang,2003
300,Kobayashi and Azuma,2003
301,Alifanov,2003
302,Galton | Yates and Kermack 2007,2003
303,Alifanov,2003
304,Sereno | Wilson and Conrad,2004
305,Rauhut | Remes | Fechner | Cladera and Puerta,2005
306,Makovicky | Apesteguía & Agnolin,2005
307,Allain,2005
308,Zanno and Sampson,2005
309,Salgado and Gasparini,2006
310,Bakker | Sullivan | Porter | Larson and Saulsbury,2006
311,Ksepka and Norell,2006
312,Sander | Mateus | Laven and Knötschke,2006
313,Xu | Clark | Forster | Norell | Erickson | Eberth | Jia and Zhao,2006
314,Göhlich & Chiappe,2006
315,Bonaparte | González Riga and Apesteguía,2006
316,Coria and Currie,2006
317,Kellner et al.,2006
318,Xu | Zhang | Tan | Zhao and Tan,2006
319,Xu | Forster | Clark and Mo,2006
320,Lü | Li | Ji | Wang | Zhang and Dong,2006
321,Varricchio | Marin and Katsura,2007
322,Turner | Hwang and Norell,2007
323,Ji | Ji | Lü and Yuan,2007
324,Averianov and Sues,2007
325,Yates | Bonnan | Neveling | Chinsamy and Blackbeard 2010,2009
326,,
327,,
328,,
329,,
330,,
331,,
