242	me-lan-or-oh-sore-us	Black [Mountain] lizard	Haughton	1924
666	OH-vee-RAP-tor	egg thief	Osborn	1924
439	sore-OR-nith-OID-eez	bird-like lizard	Osborn	1924
651	vel-OSS-ee-rap-tor	quick plunderer	Osborn	1924
457	ay-rine-oh-ker-ah-tops	without-nose-horn face	Parks	1925
104	dro-MI-see-oh-me-muss	emu mimic	Parks	1926
755	reet-oh-sore-us	Rhoetan lizard	Longman	1926
632	see-tee-oh-SORE-is-kuss	like whale lizard	von Huene	1927
685	ed-mon-TONE-ee-ah	of Edmonton	Sternberg	1928
646	mah-lah-wee-sore-us	Malawi lizard	Haughton	1928
580	Ant-ARK-toe-sore-us	non-northern lizard	von Huene	1929
747	yoo-hel-oh-pus	true marsh foot	Wiman	1929
557	tahn-ee-us	[H. C.] Tan	Wiman	1929
418	Kar-KAR-o-don-toe-sore-us	Carcharodon lizard	Stromer	1931
225	ee-JIP-toe-SORE-us	Egyptian lizard	Stromer	1932
191	ah-LEK-tro-sore-us	eagle lizard	Gilmore	1933
305	aws-troh-sore-us	south lizard	Longman	1933
485	bak-troh-sore-us	club [spined] lizard	Gilmore	1933
467	in-doh-sook-us	Indian crocodile	Huene and Matley	1933
581	Or-nith-oh-LES-teez	bird robber	Osbourne	1933
245	pin-ak-oh-sore-us	plank lizard	Gilmore	1933
954	lil-ee-en-shtern-us	[for] Lilienstern	Huene	1934
450	nip-on-oh-sore-us	Japanese lizard	Nagao	1936
393	sayg-ee-sore-us	Segi [Canyon] lizard	Camp	1936
435	PARKS-oh-SORE-us	Park's lizard	Sternberg	1937
319	jak-sahr-toh-sore-us	Jaxartes [River] lizard	Riabinin	1939
391	oh-mee-sore-us	Omei lizard	Young	1939
906	Loo-FUNG-oh-SORE-us	Lufeng lizard	Young	1941
494	yoo-nahn-oh-sore-us	Yunnan lizard	Young	1942
564	pack-i-KEF-al-oh-sore-russ	thick-headed lizard	Brown and Schlaikjer	1943
383	aff-ROW-ven-ah-tor	African hunter	Sereno, Wilson, Larsson, Dutheil and Sues	1944
101	nan-oh-tie-ran-us	tiny tyrant	Gilmore	1946
316	am-ig-dal-oh-don	almond tooth	Cabrera	1947
541	ah-kroh-kan-tho-SORE-us	high-spined lizard	Stovall and Langston	1950
361	pack-ee-RINE-oh-sore-us	thick-nosed lizard	Sternberg	1950
406	tal-a-roor-us	wicker tail	Maleev	1952
769	brak-i-lof-oh-sore-us	short-crested lizard	C. M. Sternberg	1953
761	mike-row-ker-ah-tops	tiny horned face; Aral lizard	Bohlin	1953
775	mah-men-chi-sore-us	Mamenchi lizard	Young	1954
387	re-bash-i-sore-us	[Ait] Rebbach lizard	Lavocat	1954
414	TAR-bow-SORE-us	alarming lizard	Maleev	1955
302	tahrk-ee ah	brainy one	Maleev	1956
497	Lex-oh-vee-sore-us	Lexovii lizard	Hoffstetter	1957
975	ching-dow-sore-us	Qingdao lizard	Young	1958
152	jyah-ling-oh-sore-us	Jialing [River] lizard	Young	1959
239	lof-oh-roh-thon	crested nose	Xu, Makovicky, Wang, Norell and You	1960
835	sil-vi-sore-us	forest lizard	Eaton	1960
611	HET-er-oh-DON’T-oh-sore-us	different-teeth lizard	Crompton and Charig	1962
625	herr-ray-rah-SORE-us	Herrera's lizard	Reig	1963
408	ewe-strep-toe-SPON-die-luss	well-curved vertebra	Walker	1964
684	met-ree-a-kan-tho-sore-us	moderately-spined lizard	Walker	1964
605	proh-bak-troh-sore-us	before Bactrosaurus	Rozhdestvensky	1966
109	pee-sahn-oh-sore-us	Pisano's lizard	Casamiquela	1967
422	ar-al-oh-sore-us	Aral lizard	Rozhdestvensky	1968
250	die-NON-i-kuss	terrible claw	Ostrom	1969
352	ree-oh-hah-sore-us	[La] Rioja lizard	Bonaparte	1969
969	sin-tar-sus	fused tarsus	Raath	1969
859	da-PLEE-toe-SORE-us	frightful lizard	Russell	1970
388	DINE-oh-KIRE-us	terrible hand	Osmólska and Roniewicz	1970
423	sore-oh-pelt-ah	lizard shield	Ostrom	1970
871	stor-ik-oh-sore-us	Southern Cross lizard	Colbert	1970
492	ten-ON-toe-sore-us	sinew lizard	Ostrom	1970
644	Nem-egg-tow-sore-us	Nemegt lizard	Nowinski	1971
649	Ark-ee-orn-ith-oh-meem-us	ancient bird mimic	Russell	1972
381	ah-zen-doh-sore-us	Azendoh lizard	Dutuit	1972
401	gal-lee-MEEM-us	chicken mimic	Osmólska, Roniewicz and Barsbold	1972
870	vul-kan-oh-don	volcano tooth	Raath	1972
416	shan-TUN-go-sore-us	Shantung (=Shandong) lizard	Hu	1973
645	too-YANG-oh-sore-us	Tuo River lizard	Dong, Li, Zhou and Zhang	1973
718	woo-uhr-huh-sore-us	Wuerho lizard	Dong	1973
637	choo-boot-i-sore-us	Chubut [Province] lizard	Corro	1974
814	Home-ah-loh-keff-ah-lee	level head	Maryańska and Osmólska	1974
784	preen-oh-keff-ah-lee	sloping head	Maryańska and Osmólska	1974
124	tie-loh-keff-ah-lee	swelling head	Maryańska and Osmólska	1974
210	Bag-a-ser-a-tops	small-horned face	Maryanska and Osmolska	1975
327	Bar-rap-oh-SORE-us	big leg lizard	Jain, Kutty, Roy-Chowdhury and Chatterjee	1975
346	jing-sha-kiang-oh-sore-us	Chinshakiang lizard	Yeh	1975
428	val-doh-sore-us	Wealden lizard	Galton	1975
169	al-ee-oh-ray-mus	other [evolutionary] branch	Kurzanov	1976
768	marsh-oh-sore-us	[Othniel Charles] Marsh lizard	Madsen	1976
134	oo-RAH-noh-sore-us	brave monitor lizard	Taquet	1976
615	o-pis-tho-seel-i-cawd-ee-a	hollow-backed tail [vertebrae]	Borsuk-Bialynicka	1977
716	sigh-CHAN-ee-a	beautiful	Maryañska	1977
978	ko-lo-rahd-i-sore-us	[Los] Colorados lizard	Bonaparte	1978
149	Le-SO-toe-sore-us	Lesotho lizard	Galton	1978
601	mike-row-pak-ee-keff-ah-loh-sore-us	tiny thick-headed lizard	Dong	1978
380	yang-choo-AHN-oh-SORE-us	Yangchuan lizard	Dong, Chang, Li and Zhou	1978
268	dra-vid-oh-sore-us	Dravidanadu lizard	Yadagiri and Ayyasami	1979
540	GIL-more-oh-SORE-us	Gilmore's lizard	Brett-Surman	1979
248	my-ah-SORE-ah	good mother lizard	Horner and Makela	1979
274	mah-joong-gah-thol-us	Majunga dome	Sues & Taquet	1979
739	moos-SORE-us	mouse lizard	Bonaparte and Vince	1979
603	nahn-shyung-oh-sore-us	Nanxiong lizard	Dong	1979
553	pat-ag-oh-sore-us	Patagonian lizard	Bonaparte	1979
855	pye-at-nits-key-sore-us	Piatnitzky's lizard	Bonaparte	1979
696	see-ser-noh-sore-us	separated lizard	Brett-Surman	1979
912	SEG-no-SORE-us	slow lizard	Perle	1979
341	TOR-voh-SORE-us	savage lizard	Galton and Jensen	1979
767	yen-doo-sore-us	Yandu lizard	He	1979
900	er-lik-oh-sore-us	Erlik's lizard	Perle vide Barsbold and Perle	1980
373	min-mie	named after Minmi Crossing	Molnar	1980
486	noh-ah-sore-us	northwestern Argentina lizard	Bonaparte and Powell	1980
727	salt-a-sore-us	Salta lizard	Bonaparte and Powell	1980
261	ZEF-ear-ro-SORE-us	west wind lizard	Sues	1980
284	ah-vee-MEEM-us	bird mimic	Kurzanov	1981
392	ga-roo-dee-meem-us	Garuda mimic	Barsbold	1981
525	ing-gay-nee-ah	Ingeni-[Khobur]	Barsbold	1981
806	MUT-a-BURR-a-SORE-us	Muttaburra lizard	Bartholomai and Molnar	1981
642	skoo-tell-oh-sore-us	small shield lizard	Colbert	1981
993	goy-oh-keff-ah-lee	decorated head	Perle, Maryańska and Osmólska	1982
496	hoy-YANG-oh-SORE-us	Huayang lizard	Dong, Tang and Zhou	1982
