3706	24			
3074	25			
4235	46			
1353	46			
3106	44			
7366	44			
2833	90			
6174	77			
5447	77			
2176	40			
3016	64			
3807	35			
1940	53			
